prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
780 000 zł,"82,18 m²",Wykończone mieszkanie w nowej Inwestycji,4,do zamieszkania,Współrzędne dokładne,"Łódź, Zarzew, ul. mjr. Jana Piwnika ""Ponurego""",51.74697,19.508246,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet",brak informacji,inne,pierwotny
588 000 zł,"78,42 m²",Mieszkanie w wykończonej Inwestycji,4,do wykończenia,Współrzędne dokładne,"Łódź, Zarzew, ul. mjr. Jana Piwnika ""Ponurego""",51.74697,19.508246,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet",brak informacji,inne,pierwotny
599 000 zł,65 m²,MIESZKANIE M2 NOWE PIETRO 1 Pabianice ul Podleśna,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bugaj, Pabianice, pabianicki",51.65666,19.37413,1/5,1 200 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",pustak,pierwotny
714 780 zł,"79,42 m²",4-pokojowe mieszkanie 79m2 + loggia,4,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,1/8,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
484 320 zł,"50,45 m²",2-pokojowe mieszkanie 50m2 + loggia Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,1/8,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
586 530 zł,"65,17 m²",3-pokojowe mieszkanie 65m2 + taras Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,1/5,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"42,12 m²",2-pokojowe mieszkanie 42m2 + loggia,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Brzeźna",51.753743,19.458635,1/5,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"49,19 m²",2-pokojowe mieszkanie 49m2 + balkon Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska",51.742428,19.457904,parter/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
581 060 zł,"68,36 m²",Apartamenty Konstantynów Łódzki,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Konstantynów Łódzki, pabianicki, łódzkie",51.74644,19.32674,1/2,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2022,apartamentowiec,nie,"telewizja kablowa, internet",domofon / wideofon,cegła,pierwotny
253 935 zł,"26,73 m²",1-pokojowe mieszkanie 26m2 + ogródek Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Dzwonowa",51.713173,19.445054,parter/2,Zapytaj,pełna własność,"taras, ogródek",Zapytaj,0,0,0,0,0,0,0,0
406 230 zł,"36,93 m²","Łódź, Radiostacja, BEZPOŚREDNIO od dewelopera",2,do wykończenia,Współrzędne dokładne,"Łódź, Radiostacja, Gabriela Narutowicza 128",51.75949,19.4318,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,kamienica,tak,brak informacji,brak informacji,cegła,pierwotny
275 000 zł,"34,5 m²",Dwa pokoje w Apartamentowcu‼️ Klucze maj‼️NeoTeo‼️,2,Zapytaj,Współrzędne dokładne,"Łódź, Bałuty, ul. Aleksandrowska",51.798065,19.389393,1/10,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,pierwotny
Zapytaj o cenę,"73,53 m²",3-pokojowe mieszkanie 73m2 + balkon Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Rzgowska",51.721001,19.483235,1/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
322 995 zł,"35,3 m²",2 Pokoje w Centrum - Uniwersytet ‼️ Ten rok ‼️,2,Zapytaj,Współrzędne dokładne,"Łódź, Śródmieście, ul. dr. Stefana Kopcińskiego",51.768507,19.483864,Zapytaj,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,pierwotny
Zapytaj o cenę,"70,72 m²",4-pokojowe mieszkanie 70m2 + balkon Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Słowiańska",51.748333,19.471314,2/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"39,87 m²",2-pokojowe mieszkanie 39m2 + ogródek Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Stare Polesie, ul. Marcina Kasprzaka",51.771823,19.430733,1/7,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"90,42 m²",4-pokojowe mieszkanie 90m2 + taras Bez Prowizji,4,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Brzeźna",51.753743,19.458635,3/4,Zapytaj,pełna własność,"taras, balkon",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
519 000 zł,66 m²,Apartament z 320cm oknem wychodzącym na 108m ogród,3,do wykończenia,Współrzędne dokładne,"Łódź, Nowosolna, ul. Brzezińska",51.793974,19.596555,parter/1,200 zł,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,2023-12-20,2023,dom wolnostojący,nie,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",pustak,pierwotny
274 740 zł,"28,92 m²",1-pokojowe mieszkanie 28m2 Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska",51.755678,19.454527,4/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
489 000 zł,88 m²,Apartament z poddaszem! Ogród! Parking x2,4,do wykończenia,Współrzędne dokładne,"Łódź, Nowosolna, ul. Brzezińska",51.793974,19.597413,1/1,200 zł,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,2023-12-20,2023,dom wolnostojący,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",pustak,pierwotny
Zapytaj o cenę,"43,14 m²",2-pokojowe mieszkanie 43m2 + taras Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Nowe Złotno, ul. Podchorążych",51.78068,19.37486,2/2,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"42,75 m²",2-pokojowe mieszkanie 42m2 + balkon Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Pomorska",51.776944,19.465251,6/6,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
363 528 zł,"35,64 m²",2-pokojowe mieszkanie 35m2 + balkon Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Czerwona",51.74428,19.45587,3/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"60,2 m²",3-pokojowe mieszkanie 60m2 + balkon Bezpośrednio,3,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Jana Kilińskiego",51.777044,19.462137,1/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
399 000 zł,"64,32 m²","Dwupoziomowe , mieszkanie BEZCZYNSZOWE + 2 tarasy",3,do wykończenia,Współrzędne dokładne,"ul. Wesoła , Radomsko, radomszczański",51.08464,19.448574,1/1,Zapytaj,pełna własność,"balkon, taras",Zapytaj,brak informacji,brak informacji,szeregowiec,nie,brak informacji,brak informacji,beton komórkowy,pierwotny
431 000 zł,"68,57 m²",Ostatnie 2 pakiety kawalerek BEZCZYNSZOWE,4,do wykończenia,Współrzędne dokładne,"ul. Wesoła , Radomsko, radomszczański",51.085139,19.448681,1/1,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,szeregowiec,nie,internet,brak informacji,beton komórkowy,pierwotny
Zapytaj o cenę,"92,7 m²",4-pokojowe mieszkanie 92m2 + taras Bez Pośredników,4,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Morwowa",51.80242,19.43653,3/3,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"84,91 m²",4-pokojowe mieszkanie 84m2 + balkon,4,do wykończenia,Współrzędne dokładne,"Łódź, Stare Polesie, ul. Marcina Kasprzaka",51.771823,19.430733,5/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
375 268 zł,"40,79 m²",2-pokojowe mieszkanie 40m2 Bez Pośredników,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Wólczańska",51.755678,19.454527,3/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"37,31 m²",2-pokojowe mieszkanie 37m2 Bez Pośredników,2,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. prof. Bohdana Stefanowskiego",51.751825,19.453523,1/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,0,0,0,0,0,0,0,0
791 295 zł,"111,45 m²",5-pokojowe mieszkanie 111m2 + ogródek,5,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. gen. Stanisława Maczka",51.73276,19.40871,parter/4,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"32,8 m²",1-pokojowe mieszkanie 32m2 + balkon Bezpośrednio,1,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Pomorska",51.776944,19.465251,parter/6,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"31,95 m²",2-pokojowe mieszkanie 31m2 + ogródek Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Srebrzyńska",51.773313,19.418594,parter/10,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"60,92 m²",3-pokojowe mieszkanie 60m2 + balkon Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Stare Polesie, ul. Marcina Kasprzaka",51.771823,19.430733,2/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"38,99 m²",2-pokojowe mieszkanie 38m2 + balkon Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Mania",51.775625,19.408537,3/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
581 770 zł,"83,11 m²",4-pokojowe mieszkanie 83m2 + 2 loggie Bez Prowizji,4,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. gen. Stanisława Maczka",51.73276,19.40871,2/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"32,23 m²",1-pokojowe mieszkanie 32m2 + balkon Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Stare Polesie, ul. Marcina Kasprzaka",51.771823,19.430733,3/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"33,11 m²",Nowe mieszkanie 2 pokojowe / balkon,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Jana Kilińskiego",51.749554,19.474049,parter/5,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
480 816 zł,72 m²,Osiedle Piotrkowska II | ustawne mieszkanie 3B,3,do wykończenia,Współrzędne dokładne,"ul. Piotrkowska , Aleksandrów Łódzki, zgierski",51.8208,19.320528,1/1,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
Zapytaj o cenę,"48,08 m²",Belzacka City Park I przytulne mieszkanie B28,1,do wykończenia,Współrzędne dokładne,"Piotrków Trybunalski, Centrum, ul. Belzacka",51.40816,19.678417,3/6,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
420 000 zł,"54,51 m²",kamienica po rewitalizacji - przy pl. Wolności m58,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Pomorska",51.77707,19.457132,4/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1896,kamienica,tak,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",cegła,pierwotny
375 336 zł,"48,12 m²",Funkcjonalne trzypokojowe mieszkanie | M22,3,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Fabryczna",51.757034,19.478413,parter/2,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1930,kamienica,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",cegła,pierwotny
738 825 zł,"98,51 m²",Nowe Mieszkanie Rafowa Park | C2,5,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Rafowa",51.68959,19.430786,1/1,Zapytaj,Zapytaj,"balkon, ogródek",garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
170 000 zł,"19,24 m²","Kawalerka w Centrum, 19 m2, ROI 8%",1,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Radwańska",51.752327,19.456985,3/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,1914,kamienica,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",cegła,pierwotny
320 731 zł,"42,89 m²",Apartamenty Liściasta | bud. 2 | mieszkanie 2_37,1,do wykończenia,Współrzędne dokładne,"Łódź, Radogoszcz, ul. Liściasta",51.816998,19.406075,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
"527 342,50 zł","57,01 m²",Nowe Mieszkanie Jasia i Małgosi | M1.D4,3,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Jasia i Małgosi",51.740128,19.409323,parter,Zapytaj,Zapytaj,ogródek,garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,internet,teren zamknięty,brak informacji,pierwotny
Zapytaj o cenę,"39,16 m²",Tuwima Apartments | 2-pokojowe mieszkanie nr 383,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Juliana Tuwima",51.76738,19.477092,8/11,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
377 060 zł,"55,45 m²",Osiedle La Spazia | ustawny mieszkanie 6A,3,do wykończenia,Współrzędne dokładne,"ul. Stodolna , Radomsko, radomszczański",51.06858,19.451654,parter/3,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
"248 944,80 zł","31,6 m²",Osiedle Kolumny | C34 Rezerwacja,1,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Kolumny",51.712345,19.551111,3/3,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"25,45 m²",1-pokojowe mieszkanie 25m2 + ogródek,1,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. prof. Bohdana Stefanowskiego",51.751825,19.453523,parter/4,Zapytaj,pełna własność,ogródek,Zapytaj,0,0,0,0,0,0,0,0
Zapytaj o cenę,69 m²,3-pokojowe mieszkanie 69m2 + ogródek Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Teodora Viewegera",51.794088,19.598372,1/1,Zapytaj,pełna własność,"balkon, ogródek",Zapytaj,0,0,0,0,0,0,0,0
Zapytaj o cenę,"40,2 m²",2-pokojowe mieszkanie 40m2 + loggia Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Kazimierza Odnowiciela",51.739763,19.562033,5/5,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
1 271 592 zł,"100,92 m²",5-pokojowe mieszkanie 100m2 + taras Bezpośrednio,5,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Walerego Wróblewskiego",51.74428,19.45587,2/2,Zapytaj,pełna własność,taras,Zapytaj,0,0,0,0,0,0,0,0
Zapytaj o cenę,"66,32 m²",3-pokojowe mieszkanie 66m2 + loggia Bezpośrednio,3,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Kazimierza Odnowiciela",51.739763,19.562033,1/5,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"46,15 m²",2-pokojowe mieszkanie 46m2 + balkon Bezpośrednio,2,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Romanowska",51.80761,19.333234,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
633 276 zł,"75,39 m²",4-pokojowe mieszkanie 75m2 + 2 balkony,4,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Czerwona",51.74428,19.45587,2/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
302 328 zł,"38,76 m²",2-pokojowe mieszkanie 38m2 + loggia,2,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. gen. Stanisława Maczka",51.73276,19.40871,1/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"28,4 m²",1-pokojowe mieszkanie 28m2 + balkon Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Srebrzyńska",51.773313,19.418594,1/10,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"35,6 m²",1-pokojowe mieszkanie 35m2 Bezpośrednio,1,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Jana Kilińskiego",51.777044,19.462137,1/3,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"78,96 m²",4-pokojowe mieszkanie 78m2 + loggia Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Łódź, Nowe Złotno, ul. Podchorążych",51.78068,19.37486,1/2,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"57,5 m²",3-pokojowe mieszkanie 57m2 + taras Bez Pośredników,3,do wykończenia,Współrzędne dokładne,"Łódź, Nowe Złotno, ul. Podchorążych",51.78068,19.37486,2/2,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"128,05 m²",4-pokojowe mieszkanie 128m2 + taras,4,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Romanowska",51.80761,19.333234,4/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"68,24 m²",3-pokojowe mieszkanie 68m2 + balkon,3,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Pomorska",51.776944,19.465251,3/6,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"36,9 m²",2-pokojowe mieszkanie 36m2 + taras Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Jana Kilińskiego",51.777044,19.462137,2/3,Zapytaj,pełna własność,"taras, balkon",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"81,1 m²",4-pokojowe mieszkanie 81m2 + ogródek Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Srebrzyńska",51.773313,19.418594,parter/10,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
258 000 zł,"25,8 m²",1-pokojowe mieszkanie 25m2 + balkon Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Czerwona",51.74428,19.45587,parter/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"75,26 m²",4-pokojowe mieszkanie 75m2 + 2 balkony,4,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Kazimierza Odnowiciela",51.739763,19.562033,2/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
503 248 zł,"70,88 m²",3-pokojowe mieszkanie 70m2 + 2 loggie,3,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. gen. Stanisława Maczka",51.73276,19.40871,3/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"58,59 m²",3-pokojowe mieszkanie 58m2 + 2 balkony,3,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Romanowska",51.80761,19.333234,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
703 600 zł,"70,36 m²",Apartament Konstantynów Łódzki,3,do zamieszkania,Współrzędne dokładne,"ul. Jana Kilińskiego 60, Konstantynów Łódzki, pabianicki",51.74644,19.32674,2/2,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,nie,"telewizja kablowa, internet","teren zamknięty, domofon / wideofon",cegła,pierwotny
Zapytaj o cenę,"30,51 m²",1-pokojowe mieszkanie 30m2 + ogródek,1,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Romanowska",51.80761,19.333234,parter/4,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
240 777 zł,"26,89 m²","Nowe studio z dużym tarasem , piętro 4/4 centrum",1,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Sebastiana Felsztyńskiego",51.73955,19.450297,4/4,Zapytaj,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,brak informacji,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,pierwotny
372 000 zł,"41,39 m²",NOWE|2pok|41m|Odbiór06.2023|Piotrkowska|Prestiżowo,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Śródmieście, Łódź, Łódź",51.77095,19.46172,2/7,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
329 000 zł,"25,5 m²",Piękna kawalerka|Nowy blok|Centrum|Wysoki standard,1,do zamieszkania,Współrzędne dokładne,"Łódź, Widzew, ul. Wysoka",51.76404,19.478378,4/4,300 zł,pełna własność,balkon,Zapytaj,brak informacji,2022,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
880 000 zł,"132,26 m²","Apartament z ogródkiem, odbiór kluczy w 06.2023",4,do wykończenia,Współrzędne dokładne,"Łódź, Nowe Złotno, ul. Kwiatowa 22",51.783891,19.395408,parter/2,50 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2023,dom wolnostojący,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pustak,pierwotny
566 424 zł,"78,67 m²",Komfortowe Mieszkanie Enklawa Pienista | B14,4,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Pienista",51.73392,19.40395,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
626 352 zł,"81,1 m²",MANUFAKTURA. Trzy Balkony! Garaż tylko - 5 tys.,4,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Polesie, Łódź, Łódź",51.69368,19.45495,5/10,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2024,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",cegła,pierwotny
468 944 zł,"59,36 m²",Funkcjonalne Mieszkanie Polna 18 Residence | M32,3,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Polna",51.792168,19.43518,3/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,"telewizja kablowa, internet",teren zamknięty,brak informacji,pierwotny
355 895 zł,"45,05 m²",Przytulne Mieszkanie Polna 18 Residence | M31,2,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Polna",51.792168,19.43518,3/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,"telewizja kablowa, internet",teren zamknięty,brak informacji,pierwotny
361 636 zł,"48,36 m²",Apartamenty Liściasta | bud. 2 | mieszkanie 2_35,2,do wykończenia,Współrzędne dokładne,"Łódź, Radogoszcz, ul. Liściasta",51.816998,19.406075,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
549 000 zł,"78,77 m²",Ostatnie wolne lokale | piętro z ogrodem | Łódź,4,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Kolumny",51.712345,19.551111,1/1,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2021,szeregowiec,nie,"telewizja kablowa, internet",brak informacji,pustak,pierwotny
711 252 zł,"77,31 m²",Apartament Piotrkowska idealne na krótki Najem,3,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. Piotrkowska 44",51.771551,19.456069,1/2,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,tak,"internet, telefon","teren zamknięty, domofon / wideofon",cegła,pierwotny
