prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
367 278 zł,"50,98 m²",Źródlana 31 Residence mieszkanie B1.M.0.03,3,Zapytaj,Współrzędne dokładne,"ul. Źródlana , Piotrków Trybunalski, Piotrków Trybunalski",51.414093,19.660162,parter/7,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2024,brak informacji,tak,brak informacji,brak informacji,brak informacji,pierwotny
309 347 zł,"43,57 m²",Apartamenty Boya | urocze mieszkanie A.3.13,2,do wykończenia,Współrzędne dokładne,"Zgierz, os. 650-lecia, ul. Tadeusza Boya-Żeleńskiego",51.86096,19.380379,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2024,blok,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",pustak,pierwotny
Zapytaj o cenę,"31,5 m²",Botanic Park | apartament nr 96 | Rezerwacja,1,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Konstantynowska 64c",51.758335,19.396845,4/4,Zapytaj,pełna własność,balkon,Zapytaj,0,0,0,0,0,0,0,0
514 985 zł,"40,55 m²",Biała Kamienica | przestronne mieszkanie M38,2,do wykończenia,Współrzędne dokładne,"Łódź, Śródmieście, ul. płk. dr. Stanisława Więckowskiego",51.77232,19.453482,3/6,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2024,kamienica,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
317 446 zł,"47,38 m²",Osiedle Nowy Niebrów | bud. A | mieszkanie 2.1.3,2,do wykończenia,Współrzędne dokładne,"Tomaszów Mazowiecki, Niebrów, ul. ks. Jana Skorupki",51.54232,20.009691,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
401 968 zł,"54,32 m²",Stacja Augustów | nowe mieszkanie A5_6,3,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Augustów",51.75616,19.552341,5/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"29,7 m²",Tuwima Gardens /w sąsiedztwie 2 parków/ A1/1/59,1,Zapytaj,Współrzędne dokładne,"Łódź, Widzew, ul. Juliana Tuwima",51.767403,19.490494,1,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
391 600 zł,"55,15 m²",Mieszkanie M2 budynek 7A Osiedle Rzymska VI etap I,3,do wykończenia,Współrzędne dokładne,"ul. Teklinowska , Wieruszów, wieruszowski",51.315826,18.126423,parter/2,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2025,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,pierwotny
830 800 zł,"83,08 m²",4-pokojowe mieszkanie 83m2 + loggia Bez Prowizji,4,do wykończenia,Współrzędne dokładne,"Łódź, Bałuty, ul. Nad Sokołówką",51.803727,19.434645,4/8,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
871 000 zł,"135,35 m²",JASKÓŁCZA DELUXE Apartament 6 435 zł/m² PROMOCJA,6,Zapytaj,Współrzędne dokładne,"Łódź, Arturówek, ul. Jaskółcza",51.841396,19.462658,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,2022,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
236 320 zł,"33,76 m²",Osiedle Nowy Niebrów | bud. A | mieszkanie 1.3.1,1,do wykończenia,Współrzędne dokładne,"Tomaszów Mazowiecki, Niebrów, ul. ks. Jana Skorupki",51.54232,20.009691,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
298 083 zł,"44,49 m²",Osiedle Nowy Niebrów | bud. A | mieszkanie 1.3.2,2,do wykończenia,Współrzędne dokładne,"Tomaszów Mazowiecki, Niebrów, ul. ks. Jana Skorupki",51.54232,20.009691,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"internet, telefon",domofon / wideofon,brak informacji,pierwotny
523 920 zł,"70,8 m²",Rolna 8-14 | mieszkanie B4_43,4,do wykończenia,Współrzędne dokładne,"ul. Rolna , Tomaszów Mazowiecki, tomaszowski",51.52578,20.001413,4/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
700 000 zł,"93,13 m²",4 pokoje | Inwestycja | Balkon | Blisko Park,4,do wykończenia,Współrzędne dokładne,"Polesie, Łódź, Łódź",51.78291,19.39209,2/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
297 000 zł,29 m²,Kawalerka z możliwością zrobienia sypialni,1,do wykończenia,Współrzędne dokładne,"Łódź, Łódź, łódzkie",51.76657,19.43998,2/6,Zapytaj,pełna własność,"balkon, ogródek",Zapytaj,2024-06-30,2024,apartamentowiec,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
336 000 zł,"36,16 m²",2 pokoje | Inwestycja | Balkon | Blisko Park,2,do wykończenia,Współrzędne dokładne,"Polesie, Łódź, Łódź",51.78307,19.39183,6/7,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
486 000 zł,"58,5 m²","3 pokoje, 4 piętro z windą, Polesie",3,do wykończenia,Współrzędne dokładne,"Polesie, Łódź, Łódź",51.7904,19.38288,4/7,Zapytaj,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,2023-01-31,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
737 000 zł,82 m²,"4 pokoje + taras 73m2, dostępne od czerwca 2023",4,do wykończenia,Współrzędne dokładne,"Bałuty, Łódź, Łódź",51.7959,19.38992,10/11,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,2023-06-30,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
279 000 zł,"34,5 m²",Kawalerka | Klucze na 2023 | Topowa lokalizacja,1,do wykończenia,Współrzędne dokładne,"Teofilów, Łódź, Łódź",51.7967,19.38772,7/11,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,2023-06-30,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
319 790 zł,"28,3 m²","Kawalerka 28,3 m2, 4 piętro, Stare Polesie",1,do wykończenia,Współrzędne dokładne,"Łódź, Stare Polesie, ul. Srebrzyńska",51.77365,19.42791,4/10,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,2025-03-31,2025,apartamentowiec,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona",silikat,pierwotny
604 796 zł,"78,77 m²",Apartamenty Liściasta | bud. 2 | mieszkanie 3_47,3,do wykończenia,Współrzędne dokładne,"Łódź, Radogoszcz, ul. Liściasta",51.816998,19.406075,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
393 754 zł,"42,79 m²",Ustawne 2 Pokoje Z Balkonem/Kwietniowe Rabaty!,2,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Polesie, Łódź, Łódź",51.772603,19.418826,5/10,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,2025-03-31,2024,apartamentowiec,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
424 737 zł,"50,73 m²",Kwietniowy Rabat_Nowe M3 Z Balkonem Blisko Manu!,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Polesie, Łódź, Łódź",51.772603,19.418826,1/10,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,2025-03-31,2024,apartamentowiec,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
310 685 zł,"31,97 m²",Nowy Apartament Z Balkonem/Kwietniowe Rabaty,1,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Polesie, Łódź, Łódź",51.772603,19.418826,2/10,Zapytaj,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,2025-03-31,2024,apartamentowiec,tak,brak informacji,monitoring / ochrona,pustak,pierwotny
