option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,400 000 zł,"66,8 m²","Piasta 4 pokoje, 67 m2 do remontu",4,do remontu,Współrzędne dokładne,"Piasta, Białystok, Białystok",53.12984,23.18239,4/4,620 zł,pełna własność,balkon,garaż/miejsce parkingowe,2023-05-08,1970,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,380 000 zł,40 m²,* Zamieszkaj na Ślusarskiej *,2,do zamieszkania,Współrzędne dokładne,"Białystok, Młodych, ul. Ślusarska",53.133966,23.121964,5/7,370 zł,pełna własność,balkon,Zapytaj,brak informacji,2012,blok,tak,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",cegła,wtórny
1,649 000 zł,"66,36 m²","Sybiraków, garaż, piwnica, 66m2",3,do zamieszkania,Współrzędne dokładne,"Białystok, Skorupy, ul. Sybiraków",53.13155,23.196409,4/4,480 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2016,blok,tak,internet,domofon / wideofon,cegła,wtórny
1,437 000 zł,"45,7 m²","bezpośrednio, po remoncie, gotowe do zamieszkania",2,do zamieszkania,Współrzędne dokładne,"Białystok, Bacieczki, K.E.N. 3c",53.150713,23.089365,3/3,500 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,2007,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,369 000 zł,"43,12 m²",*** Blisko Centrum 2 pok. I piętro do zamieszkania,2,do zamieszkania,Współrzędne dokładne,"Białystok, Bema, ul. gen. Józefa Bema",53.122208,23.141037,1/4,350 zł,pełna własność,balkon,Zapytaj,brak informacji,1972,blok,nie,brak informacji,"teren zamknięty, domofon / wideofon",cegła,wtórny
1,370 000 zł,45 m²,"Klimatyzacja, 3 pokoje, 1 piętro, 45m2",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Leśna Dolina, Białystok, Białystok",53.130624,23.086958,1/4,480 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1997,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
1,428 000 zł,"45,6 m²","Sienkiewicza/Piłsudskiego, 2 pokoje, umeblowane",2,do zamieszkania,Współrzędne dokładne,"Białystok, Centrum, ul. Sienkiewicza",53.133908,23.161592,3/4,500 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,1970,kamienica,nie,internet,"teren zamknięty, domofon / wideofon",cegła,wtórny
1,459 000 zł,"48,4 m²","Śliczne, po remoncie 3 pok. ul. KOZŁOWA",3,do zamieszkania,Współrzędne dokładne,"Białystok, Białostoczek, ul. Kozłowa",53.142199,23.151927,1/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,1978,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",wielka płyta,wtórny
1,750 000 zł,82 m²,"Mieszkanie, 82 m², Białystok",4,do remontu,Współrzędne dokładne,"Centrum, Białystok, Białystok",53.133045,23.165218,1/4,800 zł,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,1976,blok,nie,brak informacji,brak informacji,cegła,wtórny
1,360 000 zł,"49,2 m²","Mieszkanie, 49,20 m², Białystok",2,Zapytaj,Współrzędne dokładne,"Antoniuk, Białystok, Białystok",53.135033,23.135592,2/3,540 zł,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,1959,blok,nie,brak informacji,brak informacji,cegła,pierwotny
1,360 000 zł,49 m²,"Mieszkanie, 49 m², Białystok",2,Zapytaj,Współrzędne dokładne,"Centrum, Białystok, Białystok",53.133633,23.15609,2/4,543 zł,pełna własność,balkon,Zapytaj,brak informacji,1974,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
