option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,469 000 zł,"53,19 m²",Halo.Zarezerwuj mnie za 469 tys zł. 20min od Rynku,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Kraków, Kraków, małopolskie",50.07567,19.93084,parter/2,450 zł,pełna własność,ogródek,Zapytaj,brak informacji,1965,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
1,528 000 zł,45 m²,"Piaski Nowe.Łużycka,2pok w nowoczesnym Klimacie.",2,do zamieszkania,Współrzędne dokładne,"Kraków, Piaski Wielkie, ul. Łużycka",50.0131,19.968696,4/10,480 zł,pełna własność,balkon,Zapytaj,brak informacji,1986,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,wtórny
1,570 000 zł,53 m²,"Prądnik Biały, 3 pokoje + balkon",3,do remontu,Współrzędne dokładne,"Kraków, Prądnik Biały, ul. Białoprądnicka",50.096196,19.936057,4/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2000,blok,nie,"telewizja kablowa, internet",domofon / wideofon,brak informacji,wtórny
1,999 000 zł,"80,4 m²",Podgórze - Wielicka - 4 Pokoje,4,Zapytaj,Współrzędne dokładne,"Kraków, Bieżanów-Prokocim, ul. Wielicka",50.036854,19.96723,2/4,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2015,blok,tak,brak informacji,brak informacji,brak informacji,wtórny
1,638 000 zł,"70,1 m²",Duże mieszkanie w zielonej okolicy - Lipska,3,do remontu,Współrzędne dokładne,"Kraków, Płaszów, ul. Lipska",50.04217,19.99981,parter/4,400 zł,pełna własność,Zapytaj,Zapytaj,2023-02-23,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,970 000 zł,67 m²,"Apartament z 2020 roku, Prądnik Czerwony ",2,do zamieszkania,Współrzędne dokładne,"Kraków, Prądnik Czerwony, ul. Dobrego Pasterza",50.088624,19.978476,2/6,420 zł,pełna własność,balkon,Zapytaj,2023-05-13,2019,apartamentowiec,nie,"internet, telefon",monitoring / ochrona,brak informacji,wtórny
1,320 000 zł,"49,81 m²",2-Pok Mieszkanie Na Sprzedaż Ul. Glinik Kraków,2,do remontu,Współrzędne dokładne,"Kraków, Wzgórza Krzesławickie, ul. Glinik",50.095642,20.129914,parter/1,620 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,1970,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
1,830 000 zł,63 m²,"Mieszkanie Zakopane - rejon Pardałówki, garaż.",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Zakopane, tatrzański, małopolskie",49.29631,19.94747,2/2,920 zł,spółdzielcze własnościowe,taras,garaż/miejsce parkingowe,brak informacji,1992,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,499 000 zł,"46,8 m²",3 pokoje osiedle piastów do wejscia lub najmu,3,do zamieszkania,Współrzędne dokładne,"Kraków, Nowa Huta, os. Piastów",50.097404,20.01851,2/4,400 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,687 500 zł,"55,26 m²",Czyżyny - 2 Pokoje - Park Lotników,2,Zapytaj,Współrzędne dokładne,"Czyżyny, Kraków, Kraków",50.072526,20.01244,3/3,500 zł,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2016,apartamentowiec,nie,brak informacji,monitoring / ochrona,brak informacji,wtórny
1,1 155 000 zł,"76,22 m²",Po remoncie | Piękne do wejścia | ul. Kościuszki,3,do zamieszkania,Współrzędne dokładne,"Kraków, Salwator, ul. Bolesława Komorowskiego",50.053792,19.920534,2/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
1,863 000 zł,54 m²,✅ BEZPOŚREDNIO | Po remoncie | Salwator | Kred. 2%,3,do zamieszkania,Współrzędne dokładne,"Kraków, Salwator, ul. Juliana Fałata",50.056849,19.915286,parter/4,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
