option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,475 000 zł,"47,2 m²",Os.Tysiąclecia 3 pokoje j.kuchnia 47m² balkon 1p.,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mistrzejowice, Kraków, Kraków",50.10361,20.00665,1/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,"telewizja kablowa, internet",domofon / wideofon,brak informacji,wtórny
1,799 000 zł,62 m²,Apartament 3 pokoje 62m² winda Blok 2013 r. balkon,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Prądnik Biały, Kraków, Kraków",50.09341,19.92886,2/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2013,blok,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",cegła,wtórny
1,597 000 zł,43 m²,"Mieszkanie 2-pokojowe, nowe budownictwo",2,do zamieszkania,Współrzędne dokładne,"Kraków, Prądnik Biały, ul. Siewna",50.094272,19.951435,1/7,450 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2019,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,wtórny
1,540 000 zł,"42,4 m²","Mieszkanie Kraków ul. Bunscha 42.4 m2, 2 pokoje",2,Zapytaj,Współrzędne dokładne,"Kraków, Skotniki, ul. Karola Bunscha",50.01524,19.884255,2/4,550 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2012,blok,tak,internet,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pustak,wtórny
1,519 000 zł,"52,5 m²","3 pokoje,wykończone,z ogródkiem,słoneczne,bez PCC!",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Wieliczka, wielicki, małopolskie",49.98608,20.06512,parter/4,250 zł,pełna własność,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pustak,wtórny
1,669 000 zł,34 m²,Mieszkanie 2-pokojowe ul. Parkowa,2,do zamieszkania,Współrzędne dokładne,"Kraków, Stare Podgórze, ul. Parkowa",50.039828,19.952734,3/3,400 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2015,blok,tak,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,wtórny
1,559 000 zł,"54,36 m²","Mieszkanie, 54,36 m², Kraków",3,do remontu,Współrzędne dokładne,"Kraków, Łobzów, ul. Piotra Stachiewicza",50.085028,19.916334,2/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1966,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,648 000 zł,48 m²,CASA FELIZ Żabiniec - 2 pokoje oddzielna garderoba,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Żabiniec, Kraków, Kraków",50.08383,19.94345,3/5,500 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2016,apartamentowiec,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",żelbet,wtórny
1,340 000 zł,"49,5 m²",Sprzedam mieszkanie(Piwniczna-Zdrój). BEZPOŚREDNIO,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Krynica-Zdrój, nowosądecki, małopolskie",49.42088,20.96066,Zapytaj,Zapytaj,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1980,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
1,600 000 zł,"45,3 m²",Sprzedam mieszkanie w Szczawnicy,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Szczawnica, nowotarski, małopolskie",49.42466,20.47816,1/3,250 zł,spółdzielcze własnościowe,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2000,blok,nie,brak informacji,domofon / wideofon,pustak,wtórny
