option,prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
1,816 000 zł,"93,85 m²","Mieszkanie 93.85m2, Gorzów,centrum,taras 31m,winda",4,do wykończenia,Współrzędne dokładne,"ul. Orla 5, Gorzów Wielkopolski, Gorzów Wielkopolski",52.73085,15.221118,1/2,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,brak informacji,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",brak informacji,pierwotny
1,335 000 zł,"29,4 m²",Kawalerka z ogródkiem i miejscem parkingowym,1,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Gorzów Wielkopolski, Gorzów Wielkopolski",52.736362,15.273145,parter/3,Zapytaj,pełna własność,"ogródek, taras",Zapytaj,brak informacji,2022,blok,nie,internet,domofon / wideofon,brak informacji,pierwotny
2,Zapytaj o cenę,"68,78 m²",Słoneczny Kwadrat | nowe mieszkanie A4_06,3,do wykończenia,Współrzędne dokładne,"ul. Jana Pawła II , Kostrzyn nad Odrą, gorzowski",52.598972,14.643762,4/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
1,406 770 zł,"52,15 m²","Nowa Cegielnia - 2 pokoje z dużym balkonem, winda",2,do wykończenia,Współrzędne dokładne,"Gorzów Wielkopolski, Centrum, ul. Warszawska 185",52.736584,15.272292,2/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,silikat,pierwotny
1,330 000 zł,"82,52 m²",Dom nad jeziorem z apartamentem w stanie deweloper,2,do wykończenia,Współrzędne dokładne,"Wysoka, międzyrzecki, lubuskie",52.370773,15.459834,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,wolnostojący,nie,"prąd, internet, kanalizacja, woda, oczyszczalnia","drzwi / okna antywłamaniowe, teren zamknięty, monitoring / ochrona",silikat,pierwotny
1,489 000 zł,"47,1 m²","*Bez Pcc Śliczne nowe 3 pokoje, 56m2 po podłodze*",3,do zamieszkania,Współrzędne dokładne,"Łężyca-Inwestycyjna , Zielona Góra, Zielona Góra",51.976527,15.484414,4/4,450 zł,pełna własność,balkon,Zapytaj,brak informacji,2022,blok,tak,brak informacji,brak informacji,cegła,pierwotny
1,530 000 zł,"61,69 m²",Nowe-Lisia 3-pokojowe mieszkanie z ogródkiem.,3,do zamieszkania,Współrzędne dokładne,"Zielona Góra, Centrum, ul. Lisia",51.942669,15.496797,parter/5,530 zł,Zapytaj,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,apartamentowiec,tak,internet,"drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,pierwotny
1,316 880 zł,"39,61 m²",Mieszkania od 29 - 68 m2 w Rezydencji Stary Młyn,2,do wykończenia,Współrzędne dokładne,"ul. kard. Stefana Wyszyńskiego 109, Gorzów Wielkopolski, Gorzów Wielkopolski",52.747728,15.23562,parter/5,Zapytaj,pełna własność,Zapytaj,Zapytaj,brak informacji,2021,kamienica,nie,brak informacji,"teren zamknięty, domofon / wideofon",cegła,pierwotny
1,472 800 zł,"66,98 m²",Nowe Mieszkanie Osiedle Zacisze II M25,3,do wykończenia,Współrzędne dokładne,"ul. Zacisze , Zielona Góra, Zielona Góra",51.944264,15.476635,2/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,brak informacji,tak,brak informacji,brak informacji,brak informacji,pierwotny
1,430 660 zł,"58,63 m²",Wyjątkowe Mieszkanie Osiedle Zacisze II M34,3,do wykończenia,Współrzędne dokładne,"ul. Zacisze , Zielona Góra, Zielona Góra",51.944264,15.476635,3/4,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2022,brak informacji,tak,brak informacji,brak informacji,brak informacji,pierwotny
1,435 600 zł,49 m²,"OKAZJA! Mieszkanie, Centrum Podwyższony Standard",2,do wykończenia,Współrzędne dokładne,"Zielona Góra, Centrum, ul. Kazimierza Wielkiego",51.94336,15.510334,1/3,300 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",silikat,pierwotny
2,549 900 zł,"107,71 m²",Klonowa Enklawa III etap | nowe mieszkanie D2,5,do wykończenia,Współrzędne dokładne,"Zielona Góra, Drzonków, ul. Klonowa",51.894613,15.561711,parter,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
1,555 000 zł,87 m²,Janczewo gotowy dom do przekazania w czerwcu 2023!,4,do zamieszkania,Współrzędne dokładne,"ul. Owocowa , Janczewo, gorzowski",52.755843,15.341944,parter/1,Zapytaj,udział,"balkon, ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,szeregowiec,nie,internet,"drzwi / okna antywłamaniowe, rolety antywłamaniowe",inne,pierwotny
1,480 486 zł,"64,39 m²",Wygodne Mieszkanie Moniuszki | M 9D/13,3,do wykończenia,Współrzędne dokładne,"ul. Stanisława Moniuszki , Zielona Góra, Zielona Góra",51.93521,15.500986,1,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,tak,"telewizja kablowa, telefon",brak informacji,brak informacji,pierwotny
1,506 830 zł,"66,6 m²",Komfortowe Mieszkanie Zdrojowa Polana | M31/30,3,do wykończenia,Współrzędne dokładne,"ul. Zdrojowa , Zielona Góra, Zielona Góra",51.95661,15.514662,3,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,tak,"internet, telefon",brak informacji,brak informacji,pierwotny
1,411 120 zł,"51,39 m²",Praktyczne Mieszkanie Lisia 10 | M14,2,do wykończenia,Współrzędne dokładne,"ul. Lisia , Zielona Góra, Zielona Góra",51.943607,15.496744,1,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
1,340 000 zł,"63,7 m²","Apartament ""Zielony Zakątek"" 63,7 m2, 4 pokoje",4,do wykończenia,Współrzędne dokładne,"Nowy Świat, Rubinowa 36, Sulechów, zielonogórski",52.055174,15.614744,1/1,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,brak informacji,domofon / wideofon,silikat,pierwotny
1,310 000 zł,40 m²,"Nowe mieszkanie 40m2 – stan deweloperski, bez PCC",2,do wykończenia,Współrzędne dokładne,"Gorzów Wielkopolski, Centrum, ul. Góra Powstańców",52.734303,15.242575,parter/4,500 zł,pełna własność,balkon,Zapytaj,brak informacji,2023,apartamentowiec,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",silikat,pierwotny
1,579 000 zł,64 m²,"NOWE, piękne, przytulne mieszkanie z garderobą.",3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osiedle Europejskie, Gorzów Wielkopolski, Gorzów Wielkopolski",52.734472,15.196038,3/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2022,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,brak informacji,pierwotny
1,271 493 zł,"32,71 m²",Nowa Cegielnia - 2 pokoje z ogrodem,2,do wykończenia,Współrzędne dokładne,"Gorzów Wielkopolski, Centrum, ul. Warszawska 185",52.736584,15.272292,parter/3,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,brak informacji,2023,blok,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,silikat,pierwotny
1,366 300 zł,42 m²,2 pok Mieszkanie w Centrum Nowa niższa stawka VAT,2,do wykończenia,Współrzędne dokładne,"Zielona Góra, Centrum, ul. Kazimierza Wielkiego",51.94336,15.510334,1/3,250 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",silikat,pierwotny
2,589 900 zł,"107,71 m²",REZERWACJA Klonowa Enklawa Drzonków etap III 9C/1,5,do wykończenia,Współrzędne dokładne,"Zielona Góra, Drzonków, ul. Klonowa",51.894613,15.561711,parter,Zapytaj,pełna własność,"ogródek, taras",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
1,343 680 zł,"42,96 m²",Atrakcyjne Mieszkanie Lisia 10 | M2,2,do wykończenia,Współrzędne dokładne,"ul. Lisia , Zielona Góra, Zielona Góra",51.943607,15.496744,parter,Zapytaj,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,nie,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
1,563 070 zł,"75,55 m²",Przestronne Mieszkanie Zdrojowa Polana | M31/29,4,do wykończenia,Współrzędne dokładne,"ul. Zdrojowa , Zielona Góra, Zielona Góra",51.95661,15.514662,3,Zapytaj,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2023,brak informacji,tak,"internet, telefon",brak informacji,brak informacji,pierwotny
