prize;surface;offer name;rooms ;standard;localization_info;localization_name;latitude;longitude;floor_number;rental_cost;form_of_property;extras;garage;availability;year_of_construction;type_of_building;elevator;media;security;building_material;market
295 872 zł;44,16 m²;Fordon. Kameralna Inwestycja w otoczeniu zieleni!!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Fordon, Bydgoszcz, Bydgoszcz;53.14183;18.16897;parter/2;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
335 610 zł;50,85 m²;Fordon. Kameralna Inwestycja w otoczeniu zieleni!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Fordon, Bydgoszcz, Bydgoszcz;53.14183;18.16897;parter/2;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
503 564 zł;76,88 m²;Fordon. Kameralna Inwestycja w otoczeniu zieleni!!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Fordon, Bydgoszcz, Bydgoszcz;53.14183;18.16897;1/2;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
251 923 zł;34,51 m²;Fordon. Kameralna Inwestycja w otoczeniu zieleni!!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Fordon, Bydgoszcz, Bydgoszcz;53.14183;18.16897;2/2;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
595 000 zł;117,94 m²;Osiedle Szafir, mieszkanie nr 1 - PROMOCYJNA CENA!;4;do wykończenia;Współrzędne dokładne;ul. Szymborska , Inowrocław, inowrocławski;52.779858;18.271832;Zapytaj;Zapytaj;pełna własność;balkon, ogródek;garaż/miejsce parkingowe;brak informacji;2022;brak informacji;nie;telewizja kablowa, internet;brak informacji;brak informacji;pierwotny
428 100 zł;50,08 m²;Leszczyńskiego 32 mieszkanie nr 3;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Szwederowo, ul. Stanisława Leszczyńskiego;53.112717;17.986797;parter/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
459 600 zł;55,05 m²;Leszczyńskiego 32 mieszkanie nr 14;3;do wykończenia;Współrzędne dokładne;Bydgoszcz, Szwederowo, ul. Stanisława Leszczyńskiego;53.112717;17.986797;1/3;Zapytaj;pełna własność;balkon, taras;Zapytaj;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
358 408 zł;50,48 m²;Mieszkanie trzypokojowe z balkonem narożnym;3;Zapytaj;Współrzędne dokładne;ul. Szymborska , Inowrocław, inowrocławski;52.779366;18.27196;3/3;Zapytaj;Zapytaj;balkon;Zapytaj;brak informacji;2022;blok;tak;brak informacji;brak informacji;brak informacji;pierwotny
440 000 zł;77,4 m²;Mieszkanie ok 77m2 na nowym osiedlu Fordon;4;do wykończenia;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska 433D;53.146978;18.161385;Zapytaj;780 zł;pełna własność;balkon, taras;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet;domofon / wideofon;silikat;pierwotny
328 800 zł;44,02 m²;Nowy Wyszogród | nowe mieszkanie WG.B1.14;2;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Brdyujście, Bydgoszcz, Bydgoszcz;53.141914;18.151855;3/7;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
380 463,62 zł;57,61 m²;Mieszkanie nr 72;4;do wykończenia;Współrzędne dokładne;ul. Limbowa , Brodnica, brodnicki;53.27524;19.418232;5/5;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2022;blok;tak;telewizja kablowa, internet;teren zamknięty, domofon / wideofon, monitoring / ochrona;brak informacji;pierwotny
316 294,50 zł;45,51 m²;Nowe mieszkanie w inwestycji PARK Residence | 11;2;do wykończenia;Współrzędne dokładne;ul. Sadowa , Włocławek, Włocławek;52.649075;19.076738;1/2;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;2023-04-30;2023;blok;tak;brak informacji;teren zamknięty, domofon / wideofon;pustak;pierwotny
439 000 zł;77 m²;Mieszkanie 77 m2 z balkonem ul. Rąbińska;3;do wykończenia;Współrzędne dokładne;Inowrocław, Rąbin, ul. Rąbińska;52.782413;18.229963;1/2;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;szeregowiec;nie;internet;drzwi / okna antywłamaniowe, teren zamknięty, rolety antywłamaniowe;beton komórkowy;pierwotny
392 940 zł;53,1 m²;Niezwykłe Mieszkanie Osiedle Słoneczne | 44B;2;do wykończenia;Współrzędne dokładne;ul. Kujawska , Solec Kujawski, bydgoski;53.080975;18.240017;parter/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, domofon / wideofon;brak informacji;pierwotny
232 078 zł;30,14 m²;Osiedle Zakątek kawalerka M18;2;do wykończenia;Współrzędne dokładne;ul. 3 Maja , Rypin, rypiński;53.07031;19.416458;2/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona;pustak;pierwotny
410 475 zł;54,73 m²;Ustawne mieszkanie w inwestycji Jasna 4 | M5;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Okole, Bydgoszcz, Bydgoszcz;53.3;17.95;1/4;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;apartamentowiec;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona;silikat;pierwotny
259 140 zł;43,19 m²;Koronowo-nowe mieszkania 2,3 pokojowe z ogródkiem;2;do wykończenia;Współrzędne dokładne;ul. Sportowa , Koronowo, bydgoski;53.310699;17.956853;parter/3;200 zł;pełna własność;ogródek;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
267 840 zł;44,64 m²;Koronowo nowe mieszkania 2,3-pokojowe ul.Sportowa;2;do wykończenia;Współrzędne dokładne;Koronowo, bydgoski, kujawsko-pomorskie;53.312775;17.941548;1/3;200 zł;pełna własność;balkon, ogródek, taras;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, domofon / wideofon;silikat;pierwotny
528 304 zł;62,3 m²;Apartament nad Kanałem!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Centrum, Bydgoszcz, Bydgoszcz;53.12348;18.00844;3/4;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;brak informacji;tak;brak informacji;brak informacji;cegła;pierwotny
385 776 zł;43,2 m²;Mieszkanie, 43,20 m², Bydgoszcz;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Centrum, Bydgoszcz, Bydgoszcz;53.12348;18.00844;1/4;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;brak informacji;tak;brak informacji;brak informacji;cegła;pierwotny
550 384 zł;65,6 m²;Apartamenty nad kanałem!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Centrum, Bydgoszcz, Bydgoszcz;53.12348;18.00844;1/4;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;brak informacji;tak;brak informacji;brak informacji;cegła;pierwotny
563 775 zł;75,17 m²;Mieszkanie, 75,17 m², Bydgoszcz;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Okole, Bydgoszcz, Bydgoszcz;53.3;17.95;4/4;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;brak informacji;tak;brak informacji;domofon / wideofon;cegła;pierwotny
488 554 zł;60,69 m²;Nowe mieszkania na Szwederowie!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;1/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;brak informacji;tak;brak informacji;domofon / wideofon;cegła;pierwotny
428 184 zł;50,08 m²;Nowe mieszkania na Szwederowie!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;2/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;brak informacji;tak;brak informacji;domofon / wideofon;cegła;pierwotny
330 000 zł;42 m²;M-3 , Akademickie Fordon;2;do zamieszkania;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Szlakowa;53.141596;18.136767;2/4;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;brak informacji;blok;nie;brak informacji;drzwi / okna antywłamaniowe, domofon / wideofon;cegła;pierwotny
350 000 zł;58,16 m²;Bezczynszowe mieszkania na Zagoplu z ogródkiem;3;Zapytaj;Współrzędne dokładne;ul. Wspólna , Kruszwica, inowrocławski;52.67864;18.33305;parter/1;Zapytaj;Zapytaj;Zapytaj;Zapytaj;brak informacji;2023;brak informacji;nie;brak informacji;brak informacji;brak informacji;pierwotny
Zapytaj o cenę;60,38 m²;3-pokojowe z przestronnym salonem i balkonem!;3;do wykończenia;Współrzędne dokładne;Bydgoszcz, Fordon, ul. Fordońska 428;53.143395;18.157539;4/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
498 000 zł;51,74 m²;Fordon nowe budownictwo wykończone pod klucz!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Fordon, Bydgoszcz, Bydgoszcz;53.14183;18.16897;5/7;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
344 988 zł;46,62 m²;Atrakcyjne Mieszkanie Osiedle Słoneczne | 8A;2;do wykończenia;Współrzędne dokładne;ul. Kujawska , Solec Kujawski, bydgoski;53.080975;18.240017;1/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, domofon / wideofon;cegła;pierwotny
975 000 zł;71,93 m²;Apartament z tarasem i widokiem na wodę;4;do wykończenia;Współrzędne dokładne;Bydgoszcz, Okole, ul. Adama Naruszewicza;53.127835;17.994361;1/5;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-07-29;2023;apartamentowiec;tak;brak informacji;monitoring / ochrona, domofon / wideofon;cegła;pierwotny
358 300 zł;57,38 m²;Bydgoszcz, Bartodzieje Wielkie, ul. Pułaskiego;3;do wykończenia;Współrzędne dokładne;Bydgoszcz, Bartodzieje, ul. Kazimierza Pułaskiego;53.133058;18.045954;2/3;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2020-10-01;2020;blok;nie;internet;monitoring / ochrona, drzwi / okna antywłamaniowe, domofon / wideofon;inne;pierwotny
384 446 zł;57,38 m²;Mieszkanie 57.38 os. Makowe. ul. Pileckiego;3;Zapytaj;Współrzędne dokładne;Inowrocław, inowrocławski, kujawsko-pomorskie;52.808652;18.271735;Zapytaj;Zapytaj;Zapytaj;Zapytaj;Zapytaj;brak informacji;brak informacji;brak informacji;nie;brak informacji;brak informacji;brak informacji;pierwotny
295 272 zł;54,68 m²;Nowe Mieszkanie bezczynszowe;2;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Kowalewo Pomorskie, golubsko-dobrzyński, kujawsko-pomorskie;53.15508;18.90166;1/2;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;nie;brak informacji;teren zamknięty;pustak;pierwotny
672 060 zł;89,62 m²;Zimowe Zacisze - apartament z tarasem na dachu.;2;do wykończenia;Współrzędne dokładne;Toruń, Stawki, ul. Zimowa;52.994096;18.637502;2/2;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
459 861,40 zł;41,56 m²;"Nowe 2 - pokojowe ""pod klucz"", 0% pcc, 0% prowizji";2;do zamieszkania;Współrzędne dokładne;Bydgoszcz, Szwederowo, ul. Stanisława Leszczyńskiego;53.11425;17.990006;parter/3;Zapytaj;Zapytaj;Zapytaj;garaż/miejsce parkingowe;2023-04-17;2022;apartamentowiec;tak;brak informacji;domofon / wideofon;brak informacji;pierwotny
314 753 zł;53,97 m²;Mieszkanie z ogródkiem 2-3 pokoje! Widok na Zamek!;2;do wykończenia;Współrzędne dokładne;ul. Licealna , Golub-Dobrzyń, golubsko-dobrzyński;53.1192;19.047275;parter/1;Zapytaj;pełna własność;ogródek, taras;garaż/miejsce parkingowe;brak informacji;2023;brak informacji;nie;brak informacji;drzwi / okna antywłamaniowe;pustak;pierwotny
340 092 zł;62,98 m²;Mieszkanie z antresolą i ogródkiem! Widok na Zamek;4;do wykończenia;Współrzędne dokładne;ul. Licealna , Golub-Dobrzyń, golubsko-dobrzyński;53.1192;19.047275;1/1;Zapytaj;pełna własność;ogródek;garaż/miejsce parkingowe;brak informacji;2023;brak informacji;nie;brak informacji;drzwi / okna antywłamaniowe;pustak;pierwotny
746 636 zł;90,33 m²;NOWE mieszkanie 2 poziomowe z górą do aranżacji!;4;do zamieszkania;Współrzędne dokładne;Toruń, Rudak, osiedle Podgórska 12;52.999358;18.615045;2/2;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
249 648 zł;29,72 m²;1-pokojowe mieszkanie 29m2 + taras Bez Prowizji;1;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;1/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
339 390 zł;40,9 m²;2-pokojowe mieszkanie 40m2 + taras Bezpośrednio;2;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;2/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
249 648 zł;29,72 m²;1-pokojowe mieszkanie 29m2 + taras Bez Prowizji;1;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;parter/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
502 440 zł;63,6 m²;3-pokojowe mieszkanie 63m2 + taras Bez Pośredników;3;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;1/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
333 477 zł;41,17 m²;2-pokojowe mieszkanie 41m2 + taras Bez Prowizji;2;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;1/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
505 363 zł;62,97 m²;3-pokojowe mieszkanie 62m2 + taras Bez Prowizji;3;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;2/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
377 600 zł;54,01 m²;Nowy Wyszogród | nowe mieszkanie WG.B1.13;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Brdyujście, Bydgoszcz, Bydgoszcz;53.141914;18.151855;3/7;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
395 920 zł;49,49 m²;3-pokojowe mieszkanie 49m2 + taras Bez Prowizji;3;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;1/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
385 468,32 zł;58,29 m²;Mieszkanie nr 70;4;do wykończenia;Współrzędne dokładne;ul. Limbowa , Brodnica, brodnicki;53.27524;19.418232;5/5;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2022;blok;tak;telewizja kablowa, internet;teren zamknięty, domofon / wideofon, monitoring / ochrona;brak informacji;pierwotny
492 221,50 zł;66,07 m²;Nowe mieszkanie w inwestycji PARK Residence | 12;3;do wykończenia;Współrzędne dokładne;ul. Sadowa , Włocławek, Włocławek;52.649075;19.076738;1/2;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;2023-04-30;2023;blok;tak;brak informacji;teren zamknięty, domofon / wideofon;cegła;pierwotny
439 000 zł;70 m²;Mieszkanie 70 m2 z ogódkiem ul. Rąbińska;3;do wykończenia;Współrzędne dokładne;Inowrocław, Rąbin, ul. Rąbińska;52.782413;18.229963;parter/2;Zapytaj;pełna własność;ogródek;garaż/miejsce parkingowe;brak informacji;2022;szeregowiec;nie;internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe;beton komórkowy;pierwotny
223 998 zł;30,27 m²;Kompaktowe Mieszkanie Osiedle Słoneczne | 45B;1;do wykończenia;Współrzędne dokładne;ul. Kujawska , Solec Kujawski, bydgoski;53.080975;18.240017;parter/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, domofon / wideofon;brak informacji;pierwotny
400 960 zł;57,28 m²;Osiedle Zakątek funkcjonalne mieszkanie M17;4;do wykończenia;Współrzędne dokładne;ul. 3 Maja , Rypin, rypiński;53.07031;19.416458;2/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona;pustak;pierwotny
281 851,50 zł;47,37 m²;Osiedle Nowa 23 | urocze mieszkanie L1;2;do wykończenia;Współrzędne dokładne;ul. Nowa 23, Brześć Kujawski, włocławski;52.60658;18.90602;parter/5;Zapytaj;pełna własność;ogródek, taras;garaż/miejsce parkingowe;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona;pustak;pierwotny
468 800 zł;58,24 m²;Leszczyńskiego 32 mieszkanie nr 34;3;do wykończenia;Współrzędne dokładne;Bydgoszcz, Szwederowo, ul. Stanisława Leszczyńskiego;53.112717;17.986797;1/3;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
460 824 zł;54,86 m²;Primavera | M23;3;do zamieszkania;Współrzędne dokładne;ul. Sandomierska 36A, Bydgoszcz, Bydgoszcz;53.109013;18.059108;4/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
Zapytaj o cenę;39,14 m²;Osielsko Residence | przestronny apartament L03;1;do wykończenia;Współrzędne dokładne;ul. Jana Pawła II 83, Osielsko, bydgoski;53.190845;18.071354;parter/3;Zapytaj;pełna własność;Zapytaj;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
Zapytaj o cenę;65,09 m²;Osielsko Residence | ustawny apartament L05;2;do wykończenia;Współrzędne dokładne;ul. Jana Pawła II 83, Osielsko, bydgoski;53.190845;18.071354;1/3;Zapytaj;pełna własność;balkon, taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
453 460 zł;55,3 m²;Villa Verde II | nowe mieszkanie M1;2;do wykończenia;Współrzędne dokładne;ul. Władysława Reymonta , Niemcz, bydgoski;53.179176;18.038506;parter/2;Zapytaj;Zapytaj;ogródek;Zapytaj;0;0;0;0;0;0;0;0
357 438 zł;58,12 m²;2-pokojowe mieszkanie na Sosnkowskiego os. Rządz;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Rządz, Grudziądz, Grudziądz;53.44059;18.70674;1/4;Zapytaj;pełna własność;Zapytaj;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet, telefon;brak informacji;brak informacji;pierwotny
480 630 zł;64,95 m²;Przestronne Mieszkanie Osiedle Słoneczne | 32A;3;do wykończenia;Współrzędne dokładne;ul. Kujawska , Solec Kujawski, bydgoski;53.080975;18.240017;4/5;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, domofon / wideofon;brak informacji;pierwotny
Zapytaj o cenę;70,26 m²;Trzy pokoje, 30 metrowy salon!;3;Zapytaj;Współrzędne dokładne;Toruń, Wrzosy, ul. Henryka Strobanda;53.052597;18.61053;1;Zapytaj;Zapytaj;Zapytaj;Zapytaj;0;0;0;0;0;0;0;0
385 586 zł;55,48 m²;Grudziądz Tarpno Mieszkanie na sprzedaż;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Tarpno, Grudziądz, Grudziądz;53.49769;18.82293;1/3;Zapytaj;pełna własność;taras;Zapytaj;brak informacji;2023;apartamentowiec;nie;brak informacji;teren zamknięty;brak informacji;pierwotny
419 000 zł;67,17 m²;Dębowe Wzgórze Prestige- piętro I.;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Grudziądz, Grudziądz, kujawsko-pomorskie;53.46469;18.77287;1/1;Zapytaj;pełna własność;taras;Zapytaj;brak informacji;2024;szeregowiec;nie;internet, telefon;brak informacji;brak informacji;pierwotny
399 082 zł;53,93 m²;Nowoczesne osiedle w cichej i spokojnej okolicy!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bartodzieje Małe, Bydgoszcz, Bydgoszcz;53.11373;18.03932;1/7;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2024;blok;tak;brak informacji;brak informacji;silikat;pierwotny
578 270 zł;75,1 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;parter/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
395 395 zł;50,05 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;parter/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
368 985 zł;43,41 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;1/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
595 818 zł;75,42 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;1/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
405 810 zł;50,1 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;1/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
553 716 zł;68,36 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;2/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
364 356 zł;41,88 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;2;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;2/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
602 560 zł;75,32 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;4;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;2/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
411 722 zł;50,21 m²;Szwederowo urokliwe osiedle w otoczeniu zieleni!!;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Szwederowo, Bydgoszcz, Bydgoszcz;53.11239;17.98932;2/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;brak informacji;brak informacji;silikat;pierwotny
