prize;surface;offer name;rooms ;standard;localization_info;localization_name;latitude;longitude;floor_number;rental_cost;form_of_property;extras;garage;availability;year_of_construction;type_of_building;elevator;media;security;building_material;market
482 400 zł;60,3 m²;Przestronne mieszkanie w Ciechocinku (M68);3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Ciechocinek, aleksandrowski, kujawsko-pomorskie;52.869938;18.809685;3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2024;blok;tak;brak informacji;brak informacji;brak informacji;pierwotny
419 300 zł;59,77 m²;Nowe 60m2 3 pokojowe winda Toruń Łódzka 29A;3;do wykończenia;Współrzędne dokładne;Toruń, Stawki, ul. Łódzka 29A;52.98805;18.63655;2/2;590 zł;pełna własność;balkon;garaż/miejsce parkingowe;2023-04-12;2023;blok;tak;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
433 400 zł;66,54 m²;Nowe 67m2 winda garderoba balkon Toruń Łódzka 29A;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Stawki, Toruń, Toruń;52.98805;18.63655;1/2;650 zł;Zapytaj;balkon;garaż/miejsce parkingowe;brak informacji;2023;blok;tak;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
424 700 zł;58,07 m²;NOWE 58m 3 pokoje winda 2 balkony Toruń Łódzka 29A;3;do wykończenia;Współrzędne dokładne;Toruń, Stawki, ul. Łódzka 29A;52.98805;18.63655;1/2;570 zł;pełna własność;balkon;garaż/miejsce parkingowe;2023-04-24;2023;blok;tak;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;silikat;pierwotny
311 455 zł;37,3 m²;2-pokojowe mieszkanie 37m2 + taras Bezpośrednio;2;do wykończenia;Współrzędne dokładne;Puszczykowa 6, Osielsko, bydgoski;53.18093;18.059841;1/3;Zapytaj;pełna własność;taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
389 000 zł;36,37 m²;Wykończone mieszkanie z OGRÓDKIEM w nowym bloku;2;do zamieszkania;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Fordon, Bydgoszcz, Bydgoszcz;53.14183;18.16897;parter/6;350 zł;pełna własność;ogródek;Zapytaj;brak informacji;2023;apartamentowiec;nie;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, rolety antywłamaniowe;brak informacji;pierwotny
349 521 zł;51,58 m²;Mieszkanie Apartament deweloperskie NOWE !;3;do wykończenia;Współrzędne dokładne;os. Karbowo , Brodnica, brodnicki;53.25997;19.395662;1/1;Zapytaj;pełna własność;balkon, taras;garaż/miejsce parkingowe;brak informacji;2023;apartamentowiec;nie;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
369 000 zł;81,03 m²;Mieszkanie Dom Segment z ogrodem Karbowo Brodnica;5;do zamieszkania;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Brodnica, brodnicki, kujawsko-pomorskie;53.25021;19.40285;parter/1;Zapytaj;pełna własność;ogródek, taras;garaż/miejsce parkingowe;brak informacji;2023;szeregowiec;nie;telewizja kablowa, internet, telefon;system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
369 000 zł;81,03 m²;Mieszkanie Segment Dom z ogrodem Karbowo Brodnica;5;do wykończenia;Współrzędne dokładne;os. Karbowo , Brodnica, brodnicki;53.25997;19.395662;parter/1;Zapytaj;pełna własność;ogródek, taras;garaż/miejsce parkingowe;brak informacji;2023;szeregowiec;nie;telewizja kablowa, internet, telefon;system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
460 000 zł;96 m²;Super mieszkanie z balkonem w Osielsku przy lesie!;4;do wykończenia;Współrzędne dokładne;ul. Krzywa , Osielsko, bydgoski;53.199916;18.073878;1;1 zł;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2023;apartamentowiec;nie;telewizja kablowa, internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe;beton komórkowy;pierwotny
332 887,50 zł;40,35 m²;Nowe mieszkanie 2 pokojowe na Czyżkówku;2;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Czyżkówko, Bydgoszcz, Bydgoszcz;53.14425;17.96022;1/4;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;teren zamknięty, domofon / wideofon, monitoring / ochrona;silikat;pierwotny
809 052 zł;94,94 m²;Narożne mieszkanie nr 25, Koszalińska 52;3;do wykończenia;Współrzędne dokładne;Toruń, Bielawy, ul. Koszalińska;53.03408;18.702616;2/2;Zapytaj;pełna własność;balkon, taras;Zapytaj;brak informacji;2023;apartamentowiec;tak;internet;domofon / wideofon;silikat;pierwotny
312 660 zł;54 m²;Nowe trzypokojowe 54m2 i 62m2. Kupujący 0% PCC !!!;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Inowrocław, inowrocławski, kujawsko-pomorskie;52.7935;18.26298;parter/1;100 zł;pełna własność;balkon, ogródek;garaż/miejsce parkingowe;brak informacji;2023;szeregowiec;nie;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty;silikat;pierwotny
420 000 zł;54 m²;3 pok nowe mieszkanie.;3;Zapytaj;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Wrzosy, Toruń, Toruń;53.05;18.58;Zapytaj;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2023;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, domofon / wideofon;cegła;pierwotny
269 000 zł;34,5 m²;INWESTYCJA ! 0% prowizji | Balkon na Zach !OKAZJA!;2;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bydgoszcz, Bydgoszcz, kujawsko-pomorskie;53.1342;17.99035;3/4;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2023;apartamentowiec;nie;internet;system alarmowy;brak informacji;pierwotny
330 000 zł;41 m²;duży OGÓDEK ! 0% prowizji | TOP! okazja | 2pokoje;2;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Bydgoszcz, Bydgoszcz, kujawsko-pomorskie;53.1342;17.99035;parter/4;Zapytaj;pełna własność;ogródek, taras;garaż/miejsce parkingowe;brak informacji;2023;apartamentowiec;nie;telewizja kablowa, internet;system alarmowy, rolety antywłamaniowe;brak informacji;pierwotny
